id,Original Link,Categories,singing,instrument,summersport,ballsport,wintersport,gym,outside,places,foto,hair,nails,makeup,fandom,simpledrawing,impressivedrawing,manga,oldschool,shootinggames,gamestation,vr,minecraft,kleidung,keramikton,deko,schmuck,basteln,haus,kueche,faden,stunts,experiment,moto,car,history,hack,trend,narrator,women,men,Funny/Comdey,ASMR,Group
ASMR1,https://www.tiktok.com/@lively.sands/video/7007733159739608326?is_copy_url=1&is_from_webapp=v1&q=oddly%20satisfying&t=1659606475382,ASMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
ASMR2,https://www.tiktok.com/@spencerclaeys/video/7084686255849688366?is_copy_url=1&is_from_webapp=v1&q=oddly%20satisfying&t=1659606475382,ASMR,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,
ASMR3,https://www.tiktok.com/@sosatisfying/video/6856873410128039173?is_copy_url=1&is_from_webapp=v1&q=oddly%20satisfying&t=1659606475382,ASMR,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,
ASMR4,https://www.tiktok.com/@sirwrender/video/6970771049331903750?is_copy_url=1&is_from_webapp=v1,ASMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
ASMR5,https://www.tiktok.com/@w2sixpackchef/video/7084618485598375173?is_copy_url=1&is_from_webapp=v1,ASMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
ASMR6,https://www.tiktok.com/@lively.sand/video/6997156129700596997?is_copy_url=1&is_from_webapp=v1,ASMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
ASMR7,https://www.tiktok.com/@_catben_/video/6959661816582622469?is_copy_url=1&is_from_webapp=v1,ASMR,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,
ASMR8,https://www.tiktok.com/@thep00lguy/video/6958837722614107397?is_copy_url=1&is_from_webapp=v1,ASMR,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,
ASMR9,https://www.tiktok.com/@krystleklear1/video/6968183552089345286?is_copy_url=1&is_from_webapp=v1,ASMR,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,
ASMR10,https://www.tiktok.com/@peelingstressout/video/6996495603417091334?is_copy_url=1&is_from_webapp=v1,ASMR,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,