id,Original Link,Categories,outside,places,foto,hair,nails,makeup,fandom,impressivedrawing,simpledrawing,manga,oldschool,shootinggames,gamstation,virtualreality,minecraft,keramikton,kleidung,deko,schmuck,basteln,haus,küche,faden,stunts,experiment,moto,car,history,hack,Trendchoreo,lipsync,Narrator ,Women,Men,Transition,Filter,Funny/Comdey,Surprise,ASMR ,Group,Family ,Speaking,Duet,Text ,movie,siging,baby,zoom,school,magic,tutorial,cats,dogs,other animals,cute,beauty
r1,https://www.tiktok.com/@unseenwonders/video/7056901773923224838?is_copy_url=1&is_from_webapp=v1&q=travel&t=1659421045077,reisen,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,
r2,https://www.tiktok.com/@andre_milan9/video/7106708179852987653?is_copy_url=1&is_from_webapp=v1&q=travel&t=1659421045077,reisen,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,x,,,,,,,,,,,,
r3,https://www.tiktok.com/@ellareesetravels/video/7106633053073739054?is_copy_url=1&is_from_webapp=v1&q=travel&t=1659421045077,reisen,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,x,,,,,
r4,https://www.tiktok.com/@voyagefox/video/7101386343233654022?is_copy_url=1&is_from_webapp=v1&q=travel&t=1659421045077,reisen,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,
r5,https://www.tiktok.com/@unseenwonders/video/7075799440799370502?is_copy_url=1&is_from_webapp=v1&q=travel&t=1659421045077,reisen,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,
r6,https://www.tiktok.com/@emiliabeattie/video/7098710382147144966?is_copy_url=1&is_from_webapp=v1&q=travel&t=1659421045077,reisen,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,x,,,,,,,,,,,,
r7,https://www.tiktok.com/@florina_toma/video/7122087330504084741?is_copy_url=1&is_from_webapp=v1&q=travel&t=1659421045077,reisen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,x,,,,,x,,,,,,,,,,,,,,
r8,https://www.tiktok.com/@happyseeker/video/7112925047601450286?is_copy_url=1&is_from_webapp=v1&q=travel&t=1659421045077,reisen,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,x,,,,,
r9,https://www.tiktok.com/@lukedamant/video/6812511363982691589?is_copy_url=1&is_from_webapp=v1,reisen,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,x,,,,,
r10,https://www.tiktok.com/@visit/video/6853367101126642949?is_copy_url=1&is_from_webapp=v1,reisen,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r11,https://www.tiktok.com/@sam.adventure/video/7023065269534756102?is_copy_url=1&is_from_webapp=v1,reisen,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,x,,,,,,,,,,,,
r12,https://www.tiktok.com/@visit/video/6867974355545017605?is_copy_url=1&is_from_webapp=v1,reisen,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r13,https://www.tiktok.com/@nolimitua/video/7009268146116791558?is_copy_url=1&is_from_webapp=v1,reisen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,x,,,,,
r14,https://www.tiktok.com/@aurooratorres/video/7071241477560601861?is_copy_url=1&is_from_webapp=v1&q=travelling&t=1659421601994,reisen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,x,,,,,,,,,,,,
r15,https://www.tiktok.com/@mariee.louuu/video/7089079417795792133?is_copy_url=1&is_from_webapp=v1&q=citytrip&t=1659421803639,reisen,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,
r16,https://www.tiktok.com/@jennyhff/video/7071978522616646918?is_copy_url=1&is_from_webapp=v1&q=citytrip&t=1659421803639,reisen,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,
r17,https://www.tiktok.com/@thijstg/video/7000477814084488454?is_copy_url=1&is_from_webapp=v1&q=citytrip&t=1659421803639,reisen,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,
r18,https://www.tiktok.com/@neil.james/video/7062819151311572229?is_copy_url=1&is_from_webapp=v1&q=france&t=1659421911560,reisen,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,