id,Original Link,Categories,experiment,history,hack,Trendchoreo,lipsync,Narrator ,Women,Men,Transition,Filter,Emotional,Funny/Comdey,Surprise,ASMR ,Group,Family ,Speaking,Duet,Text ,movie,siging,baby,zoom,school,magic,tutorial,cats,dogs,other animals,cute,beauty
s1,https://www.tiktok.com/@jadroppingscience/video/7096496268289084715?is_copy_url=1&is_from_webapp=v1&q=experiment&t=1658673078116,science,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
s2,https://www.tiktok.com/@billnye/video/6854717870488702213?is_copy_url=1&is_from_webapp=v1,science,x,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,
s3,https://www.tiktok.com/@_powervision_/video/6749475978998861062?is_copy_url=1&is_from_webapp=v1,science,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s4,https://www.tiktok.com/@mrs.b.tv/video/6868044245756873990?is_copy_url=1&is_from_webapp=v1,science,x,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,
s5,https://www.tiktok.com/@stevespangler/video/7007553047068986629?is_copy_url=1&is_from_webapp=v1&q=steven%20spangler&t=1658925250731,science,x,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,
s6,https://www.tiktok.com/@mrs.b.tv/video/6907695819399384325?is_copy_url=1&is_from_webapp=v1&refer=embed&referer_url=https%3A%2F%2Fwww.weareteachers.com%2Ftiktok-science-experiments%2F&referer_video_id=6907695819399384325,science,x,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,
s7,https://www.tiktok.com/@nickuhas/video/7023061999961558278?is_copy_url=1&is_from_webapp=v1,science,x,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,
s8,https://www.tiktok.com/@mrs.b.tv/video/7043894182712298799?is_copy_url=1&is_from_webapp=v1&refer=embed&referer_url=https%3A%2F%2Fwww.weareteachers.com%2Ftiktok-science-experiments%2F&referer_video_id=6898491466092530950,science,x,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,
s9,https://www.tiktok.com/@billnye/video/6853192029107703046?is_copy_url=1&is_from_webapp=v1&refer=embed&referer_url=https%3A%2F%2Fwww.weareteachers.com%2Ftiktok-science-experiments%2F&referer_video_id=6853192029107703046,science,x,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,
s10,https://www.tiktok.com/@incrediblescience/video/6874758121944829190?is_copy_url=1&is_from_webapp=v1&refer=embed&referer_url=https%3A%2F%2Fwww.weareteachers.com%2Ftiktok-science-experiments%2F&referer_video_id=6885540783961754885,science,x,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,
s11,https://www.tiktok.com/@mrs.b.tv/video/6870642984346602757?is_copy_url=1&is_from_webapp=v1&refer=embed&referer_url=https%3A%2F%2Fwww.weareteachers.com%2Ftiktok-science-experiments%2F&referer_video_id=6870642984346602757,science,x,,x,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,
s12,https://www.tiktok.com/@sciencelobby/video/7090245538351746309?is_copy_url=1&is_from_webapp=v1&q=science&t=1659078705977,science,x,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,
s13,https://www.tiktok.com/@mathswithmisschang/video/6838169384087866630?is_copy_url=1&is_from_webapp=v1&lang=en&q=mathswithmisschang.&t=1658993652778,science,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,
s14,https://www.tiktok.com/@nilered/video/7047579448534748422?is_copy_url=1&is_from_webapp=v1&q=science&t=1659078705977,science,x,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,
s15,https://www.tiktok.com/@history__dude/video/7120317754619596038?is_copy_url=1&is_from_webapp=v1&q=history&t=1659079213350,science,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,
s16,https://www.tiktok.com/@thespartan100/video/7098322516220841222?is_copy_url=1&is_from_webapp=v1&q=history&t=1659079213350,science,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
s17,https://www.tiktok.com/@fyp/video/7075951433014725930?is_copy_url=1&is_from_webapp=v1&q=history&t=1659079213350,science,,x,,,,,,x,,,,x,,,,,x,,,,,,,,,,,,,,
s18,https://www.tiktok.com/@simplehistory_/video/7052016444757904645?is_copy_url=1&is_from_webapp=v1&q=history&t=1659079213350,science,,x,,,,x,,x,,x,,,,,,,,,,,,,,,,,,,,,
s19,https://www.tiktok.com/@tutorzed/video/7063574025611562287?is_copy_url=1&is_from_webapp=v1&q=mathematics&t=1659079433398,science,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
s20,https://www.tiktok.com/@intrestingmath/video/7096201385326251270?is_copy_url=1&is_from_webapp=v1&q=mathematics&t=1659079433398,science,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,
s21,https://www.tiktok.com/@mediamathfun/video/7040839281740369198?is_copy_url=1&is_from_webapp=v1&q=mathematics&t=1659079433398,science,,,x,,,,,x,,,,,,,,,x,,,,,,,,,x,,,,,
s22,https://www.tiktok.com/@tamuphysastr/video/7057962666827975983?is_copy_url=1&is_from_webapp=v1&q=physics&t=1659079692978,science,x,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,
s23,https://www.tiktok.com/@xieziwu/video/7093552575097703682?is_copy_url=1&is_from_webapp=v1&q=physics&t=1659079692978,science,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
s24,https://www.tiktok.com/@caitlinchuah/video/7061517163126885659?is_copy_url=1&is_from_webapp=v1&q=physics&t=1659079692978,science,x,,,,,,x,,,,,,x,,,,x,,x,,,,,,,,,,,,
s25,https://www.tiktok.com/@why__so.curious/video/7104869282718403886?is_copy_url=1&is_from_webapp=v1&q=physics&t=1659079692978,science,x,,,,,x,,x,,,,,,,,,,,x,,,,,,,,,,,,
s26,https://www.tiktok.com/@joemyheck/video/7040991019625811246?is_copy_url=1&is_from_webapp=v1&q=physics&t=1659079692978,science,x,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,